"Note: The Microsoft product information contained in this document at the time of its publication is a representative example of products offered through various Visual Studio Subscription levels. To confirm specific product availability, visit https://my.visualstudio.com/downloads/. The below product offerings contained in this document are accurate at the time of publication. Microsoft reserves the right to change these product offerings at any time.
"2001-10 MSDN Library October","ü","ü","ü","","ü","ü","ü","ü","","ü","ü","ü","ü","ü","ü","ü","ü","ü","","","ü","ü","ü",""
"2005-07 MSDN Library July","ü","ü","ü","","ü","ü","ü","ü","","ü","ü","ü","ü","ü","ü","ü","ü","ü","","","ü","ü","ü",""
"2006-01 MSDN Library January","ü","ü","ü","","ü","ü","ü","ü","","ü","ü","ü","ü","ü","ü","ü","ü","ü","","","ü","ü","ü",""
"2006-05 MSDN Library May","ü","ü","ü","","ü","ü","ü","ü","","ü","ü","ü","ü","ü","ü","ü","ü","ü","","","ü","ü","ü",""
"2006-06 MSDN Library June","ü","ü","ü","","ü","ü","ü","ü","","ü","ü","ü","ü","ü","ü","ü","ü","ü","","","ü","ü","ü",""
"2006-07 MSDN Library July","ü","ü","ü","","ü","ü","ü","ü","","ü","ü","ü","ü","ü","ü","ü","ü","ü","","","ü","ü","ü",""
"2006-08 MSDN Library August","ü","ü","ü","","ü","ü","ü","ü","","ü","ü","ü","ü","ü","ü","ü","ü","ü","","","ü","ü","ü",""
"2006-12 MSDN Library December Team Edition","ü","ü","ü","","ü","ü","ü","ü","","ü","ü","ü","ü","ü","ü","ü","ü","ü","","","ü","ü","ü",""
"2007-01 MSDN Library January Team Edition","ü","ü","ü","","ü","ü","ü","ü","","ü","ü","ü","ü","ü","ü","ü","ü","ü","","","ü","ü","ü",""
"2007-04 MSDN Library April","ü","ü","ü","","ü","ü","ü","ü","","ü","ü","ü","ü","ü","ü","ü","ü","ü","","","ü","ü","ü",""
"2007-06 MSDN Library June","ü","ü","ü","","ü","ü","ü","ü","","ü","ü","ü","ü","ü","ü","ü","ü","ü","","","ü","ü","ü",""
"Academic Alliance Tools","","","","","","","","","","","","","","","","","","","","ü","","","",""
"Accelerators and Adapters","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"Accelerators and Adapters Enterprise","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"Accelerators and Adapters Standard","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"Access 2.0","ü","ü","ü","","ü","","","","","","","","","ü","","ü","ü","ü","","","","","ü",""
"Access 2003","ü","ü","ü","","ü","","","","","","","","","ü","","ü","ü","ü","","","","","ü",""
"Access 2007","ü","ü","ü","","ü","","","","","","","","","ü","","ü","ü","ü","","ü","","","ü",""
"Access 2010","ü","ü","ü","","ü","","","","","","","","","ü","","ü","ü","ü","","ü","","","ü",""
"Access 2013","","","","","","","","","","","","","","","","","","","","ü","","","",""
"Access 2016","","","","","","","","","","","","","","","","","","","","ü","","","",""
"Access Developer Extensions 2003","ü","ü","ü","","ü","ü","ü","ü","","ü","","","ü","ü","ü","ü","ü","ü","","","","","ü",""
"Advanced Threat Analytics (ATA) version 1.4","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","ü","","","ü",""
"Advanced Threat Analytics (ATA) version 1.5","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","ü","","","ü",""
"Advanced Threat Analytics (ATA) version 1.6","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","ü","","","ü",""
"Advanced Threat Analytics (ATA) version 1.7","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","ü","","","ü",""
"Advanced Threat Analytics (ATA) version 1.8","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","ü","","","ü",""
"Advanced Threat Analytics (ATA) version 1.9","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","ü","","","ü",""
"Agents for Visual Studio 2012","ü","ü","ü","","ü","ü","ü","ü","","ü","ü","ü","","ü","","ü","","ü","","","","","ü","ü"
"Agents for Visual Studio 2012 Update 2","ü","ü","ü","","ü","ü","ü","ü","","ü","ü","ü","","ü","","ü","","ü","","ü","","","ü","ü"
"Agents for Visual Studio 2012 Update 3","ü","ü","ü","","ü","ü","ü","ü","","ü","ü","ü","","ü","","ü","","ü","","ü","","","ü","ü"
"Agents for Visual Studio 2012 Update 4","ü","ü","ü","","ü","ü","ü","ü","","ü","ü","ü","","ü","","ü","","ü","","ü","","","ü","ü"
"Agents for Visual Studio 2012 with Update 1","ü","ü","ü","","ü","ü","ü","ü","","ü","ü","ü","","ü","","ü","","ü","","ü","","","ü","ü"
"Agents for Visual Studio 2013","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","","ü","ü","ü","","ü","","ü","","","ü","ü"
"Agents for Visual Studio 2013 Update 2","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","","ü","ü","ü","","ü","","ü","","","ü","ü"
"Agents for Visual Studio 2013 Update 3","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","","ü","ü","ü","","ü","","ü","","","ü","ü"
"Agents for Visual Studio 2013 Update 4","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","","ü","ü","ü","","ü","","ü","","","ü","ü"
"Agents for Visual Studio 2013 Update 5","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","","ü","ü","ü","","ü","","ü","","","ü","ü"
"Agents for Visual Studio 2015","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","","ü","","ü","","","ü","ü"
"Agents for Visual Studio 2015 Update 3","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","","ü","","ü","","","ü","ü"
"Agents for Visual Studio 2015 with Update 1","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","","ü","","ü","","","ü","ü"
"Agents for Visual Studio 2017 (version 15.0)","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","","ü","","ü","","","ü","ü"
"Agents for Visual Studio 2017 (version 15.9)","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","","ü","","ü","","","ü","ü"
"Agents for Visual Studio 2019 (version 16.0)","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","","ü","","ü","","","ü","ü"
"Agents for Visual Studio 2019 (version 16.4)","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","","ü","","ü","","","ü","ü"
